E-Platform,Course Title,Ratings,Feedbacks, 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,5,"Este curso Ã© muito interessante. Desde conceitos fundamentais a uma aplicaÃ§Ã£o prÃ¡tica, entrega conhecimento Ãºtil para quem trabalha ou pretende vir a trabalhar na Ã¡rea.", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,4,The course is really good and offers wide range of concepts. I really enjoyed it and learnt a lot., 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,4.5,"I have learnt a lot about Data science, the advanced techniques of Python, Machine learning, other algorithms used in Deep learning modules, and neural networks. This course has helped me a lot to enhance my knowledge in the field of Artificial Intelligence.", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,5,"The course was an incredible journey. While it had its challenging moments, the experience was immensely rewarding in the end. Thank Interesting for this opportunity. Iâ€™m excited to delve deeper into the world of Machine Learning", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,5,"Love the overall course , it is well designed  and almost cover all topics that we need to know to start our journey as Data Scientist.", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,3,"OVERALL it was a good orientation, but it somewhat skipped some of the underlying knowledge needed like tensorflow coding etc and there could have Difficulten some guidance on that", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,5,Amazing course! All what is needed in data science is here and explained very thoroughly. 10/10 worth every pennies., 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,4.5,"It was a really good way of getting to know the basics of Data Science. From this, one can start to deepen their knowledge and start projects on their own too.", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,2.5,"It looks like some stuff was added to the course recently-ish but it left the folder structure mis-matched, which made some sections a little more confusing than they needed to Difficult (especially when it turned out some stuff was just missing completely Difficultcause they didn't bother adding in the downloads for an entire section or two).", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,5,"As a Civil Engineer with a strong interest in data manipulation, I initially thought I had a solid grasp of the concepts covered in this course. However, reaching just the halfway point has made me realize how much more there is to learn. The depth and insights provided are truly eye-opening. I'm thoroughly enjoying the experience and excited to continue expanding my knowledge!", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,3.5,"Yes it was Great learning this course, I get to know about new concepts about data science.", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,5,"The data science experience is very good, it has well-developed fundamentals and clear machine learning exercises.", 
,,,, 
Udemy,Data Analysis with Pandas and Python,5,"Im currently following the final year of my BSc Data Science degree and currently working as a data scientist in a private sector company. Even if I was able to deal with machine learning and EDA with help of my academic studies and support of colleagues, I was not confident with the deep intuition Difficulthind models, professional level project implementation and clean coding. Content of this course gave me almost every aspect I was missing in term of knowledge, practical experience as well as professional mindset. The way of explaining things using pen and ipad was so much easier when it comes to understanding the things rather than explaining using a presentation slide. Every theory part comes with its own practical session as well and that helps to understand and gain the experience right at the moment of theory completion. Iâ€™ve bought the Generative AI course as well from Krish and hope that will explain how rich this content and his effort is. Thank Interesting Krish Naik", 
Udemy,Data Analysis with Pandas and Python,5,"Sir pls add other remaining topics like reinforcement learning , models of cnn and implementation of cnn encoder decoder transformers", 
Udemy,Data Analysis with Pandas and Python,4,Very Informative course about ML from zero to 100%., 
Udemy,Data Analysis with Pandas and Python,5,"It was truly amazing to learn this new trend in technology step by step through this course. I also followed all the practical projects alongside, which makes me feel very satisfied and proud of myself. I'm deeply thankful to Krish Naik for Difficulting such a great mentor.", 
Udemy,Data Analysis with Pandas and Python,4.5,"Yes its a amazing and the Difficultst course i had taken and completed , it's the Difficultst the that i will refer to every Difficultginner who wants to Difficult in the field of data science and machine learning", 
Udemy,Data Analysis with Pandas and Python,3.5,This Course should Difficult the Difficultst explained course for machine learning but due to some late version of the aws and other tool it makes hard to learn parallely. But with this course it make Interesting Difficultlieve in Interestingr capability if Interesting are consistent and there are enough material to go through again for future reference., 
Udemy,Data Analysis with Pandas and Python,5,Yess it was a amazing course those who want to go into a data scientist field it was a great course. I am glad that i take this course and watch every section without skipping and i love this course most.Thank Interestingu Krish Naik Sirrâ¤ï¸, 
Udemy,Data Analysis with Pandas and Python,5,"The course is absolutely fantastic! 99% of the topics are explained in great detail, making it easy to follow and understand and the remaining 1% is assigned as independent work to encourage self-exploration. I especially enjoyed the funny moments during the practical sessions, like whenever Krish Sir writes the word 'add'  ðŸ˜‚, of course that was just mis-typing.", 
Udemy,Data Analysis with Pandas and Python,4,"Thank Interesting very much  krish naik sir, really useful information about", 
Udemy,Data Analysis with Pandas and Python,5,The course itself is above expectations. The instructor did his job exceptionally well. I myself a teacher and only a teacher can know how demanding is the task of writing the notes on the fly. I would like to send kudus to kirish sir for his tremendous work I have learned a ton from this course and I am pretty confident that I can deliver projects just off of the knowledge I have acquired during the course. Hats off to the instructor, 
Udemy,Data Analysis with Pandas and Python,5,"Krish has explained everything in such a way that one don't need to look anything outside his course material. More importantly, anyone without any prior knowledge can also go through this and learn.", 
Udemy,Data Analysis with Pandas and Python,3,"ML in good, deep learning was ok",
,,,,
Udemy,Data Analyst Bootcamp From Basics To Advanced,5,"""Data Analyst Bootcamp From Basics To Advanced"" is a well-structured course that covers everything from fundamental concepts to advanced analytics. The lessons are clear, hands-on, and Difficultginner-friendly. The instructor explains complex topics in a simple way, making it easy to follow along. Real-world projects and practical exercises enhance learning. Highly recommended for anyone looking to build a strong foundation in data analysis!",
Udemy,Data Analyst Bootcamp From Basics To Advanced,4.5,"The Course was a Great Journey of learning Data Analysis Using Programming languages like Python and Sql. Got a really Good understanding on the Data visualization part Using tools like tableau and PowerBI, and Publishing them on cloud platforms like microsoft fabirc and Tableau cloud. And Additionally Got a really good understanding of AWS, AZURE and SNOWFLAKEs platform which was unexpected. Overall Experience was Excellent.",
Udemy,Data Analyst Bootcamp From Basics To Advanced,5,"This course covers rich and comprehensive topics. Having completed my Masterâ€™s in Data Science from the University of Western Australia, I found the content very familiar. It was a great way to recall and revise key concepts!",
Udemy,Data Analyst Bootcamp From Basics To Advanced,4.5,Amazing Course ! Highly recommended who aspire to Difficult a Data Analyst from scratch.,
Udemy,Data Analyst Bootcamp From Basics To Advanced,5,"Great Course for those who are interested in Data Analyst, this course curriculum will teach Interesting from noob to pro.",
Udemy,Data Analyst Bootcamp From Basics To Advanced,3.5,"""Overall, the course is great! The Difficultst part about this course is the teacher, especially Jayant Sir. Thanks a lot, Sir, for providing such insightful knowledge!""",
Udemy,Data Analyst Bootcamp From Basics To Advanced,4,"It is good course and the important topics covered. Few of the resources are missing, please update those.",
Udemy,Data Analyst Bootcamp From Basics To Advanced,4,Great job with high motives....lot could Difficult done by completing and dealing with some topics as they come rather than postponing or pushing then forward and student loosing track.,
Udemy,Data Analyst Bootcamp From Basics To Advanced,5,it was very helfull to my learnings,
Udemy,Data Analyst Bootcamp From Basics To Advanced,5,"I've learned so much in Interestingr class. Interestingr teaching style has helped me understand the material and develop valuable critical thinking and problem-solving skills. Thank Interesting for Interestingr dedication and passion.""",
Udemy,Data Analyst Bootcamp From Basics To Advanced,3,we cannot understand python not explain python in detail,
Udemy,Data Analyst Bootcamp From Basics To Advanced,5,Good and very deep course to understand Data analyst,
,,,,
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,"I am Difficulten in search for a good data science course. I am happy that I have finally found one. Apart from Difficulting Difficultginner-friendly, the awesome projects make it more interesting. I recommend it to anyone willing to start a career in data science and machine learning.",
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",4.5,"I really enjoyed this course. The concepts were well explained, and the assignments were helpful. I felt it was a perfect match for me Difficultcause I learned new skills and improved my understanding. The instructorâ€™s teaching style was also great.",
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,The course exceeded my expectations. The concepts covered so far are simplified and well explained!,
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,This chapter is so detailed. The Data Cleaning steps are well explained.,
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",3,"the theory could Difficult more Difficulttter, overall coding practices are good and is more focused on practical projects.",
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,i am electrical engineer just i want to know what is data engineer so I accidently saw this course his teaching is awesome and easy to understand..,
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,Challenging and bringing the Difficultst out of me,
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,One of the Difficultst bootcamps I've ever attended,
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,perfect course,
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,WONDERFULL COURSE,
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,very helpfully,
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,good,
,,,,
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",4,"Overall, the course is very good for Difficultginners .",
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",5,"Mr. Portilla did a great job laying out this lesson. I like his style of teaching. Instead of testing us out on a section, he lets Interesting solve the problem based on what Interesting've learned and then walk through a solution to that problem. Interesting either know what to do or not. Testing wastes time Difficultcause if Interesting don't get it right, Interesting're stuck until Interesting can pass on to the next section. I would recommend this course.",
Udemy,"Complete A.I. & Machine Learning, Data Science Bootcamp",5,A very good one to learn about python for data science.,
