E-Platform,Course Title,User Name,Ratings,Feedbacks, 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,AntÃ³nio Ritto C.,Rating: 5.0 out of 5,"Este curso Ã© muito interessante. Desde conceitos fundamentais a uma aplicaÃ§Ã£o prÃ¡tica, entrega conhecimento Ãºtil para quem trabalha ou pretende vir a trabalhar na Ã¡rea.", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,Hussien A.,Rating: 4.0 out of 5,The course is really good and offers wide range of concepts. I really enjoyed it and learnt a lot., 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,Meghleena B.,Rating: 4.5 out of 5,"I have learnt a lot about Data science, the advanced techniques of Python, Machine learning, other algorithms used in Deep learning modules, and neural networks. This course has helped me a lot to enhance my knowledge in the field of Artificial Intelligence.", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,Refugio Elias G.,Rating: 5.0 out of 5,"The course was an incredible journey. While it had its challenging moments, the experience was immensely rewarding in the end. Thank you for this opportunity. Iâ€™m excited to delve deeper into the world of Machine Learning", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,Prashant C.,Rating: 5.0 out of 5,"Love the overall course , it is well designed  and almost cover all topics that we need to know to start our journey as Data Scientist.", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,Sundareswaran K.,Rating: 3.0 out of 5,"OVERALL it was a good orientation, but it somewhat skipped some of the underlying knowledge needed like tensorflow coding etc and there could have been some guidance on that", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,Rico Aditya H.,Rating: 5.0 out of 5,Amazing course! All what is needed in data science is here and explained very thoroughly. 10/10 worth every pennies., 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,NyÃ¡rai-HorvÃ¡th E.,Rating: 4.5 out of 5,"It was a really good way of getting to know the basics of Data Science. From this, one can start to deepen their knowledge and start projects on their own too.", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,Michelle C.,Rating: 2.5 out of 5,"It looks like some stuff was added to the course recently-ish but it left the folder structure mis-matched, which made some sections a little more confusing than they needed to be (especially when it turned out some stuff was just missing completely because they didn't bother adding in the downloads for an entire section or two).", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,Samuel B.,Rating: 5.0 out of 5,"As a Civil Engineer with a strong interest in data manipulation, I initially thought I had a solid grasp of the concepts covered in this course. However, reaching just the halfway point has made me realize how much more there is to learn. The depth and insights provided are truly eye-opening. I'm thoroughly enjoying the experience and excited to continue expanding my knowledge!", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,Swapnali Manohar P.,Rating: 3.5 out of 5,"Yes it was Great learning this course, I get to know about new concepts about data science.", 
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,Kevin Jeremy S.,Rating: 5.0 out of 5,"The data science experience is very good, it has well-developed fundamentals and clear machine learning exercises.", 
,,,,, 
Udemy,Data Analysis with Pandas and Python,Nilmantha V.,Rating: 5.0 out of 5,"Im currently following the final year of my BSc Data Science degree and currently working as a data scientist in a private sector company. Even if I was able to deal with machine learning and EDA with help of my academic studies and support of colleagues, I was not confident with the deep intuition behind models, professional level project implementation and clean coding. Content of this course gave me almost every aspect I was missing in term of knowledge, practical experience as well as professional mindset. The way of explaining things using pen and ipad was so much easier when it comes to understanding the things rather than explaining using a presentation slide. Every theory part comes with its own practical session as well and that helps to understand and gain the experience right at the moment of theory completion. Iâ€™ve bought the Generative AI course as well from Krish and hope that will explain how rich this content and his effort is. Thank you Krish Naik", 
Udemy,Data Analysis with Pandas and Python,Nihal Singh B.,Rating: 5.0 out of 5,"Sir pls add other remaining topics like reinforcement learning , models of cnn and implementation of cnn encoder decoder transformers", 
Udemy,Data Analysis with Pandas and Python,Abdirahman Bashir O.,Rating: 4.0 out of 5,Very Informative course about ML from zero to 100%., 
Udemy,Data Analysis with Pandas and Python,Mansoureh S.,Rating: 5.0 out of 5,"It was truly amazing to learn this new trend in technology step by step through this course. I also followed all the practical projects alongside, which makes me feel very satisfied and proud of myself. I'm deeply thankful to Krish Naik for being such a great mentor.", 
