E-Platform,Course Title,Ratings,Feedbacks,Sentiment
Udemy,The Data Science Course: Complete Data Science Bootcamp 2025,5,"Este curso ÃƒÂ© muito interessante. Desde conceitos fundamentais a uma aplicaÃƒÂ§ÃƒÂ£o prÃƒÂ¡tica, entrega conhecimento ÃƒÂºtil para quem trabalha ou pretende vir a trabalhar na ÃƒÂ¡rea.",Positive
,,2,The course is really good and offers wide range of concepts. I really enjoyed it and learnt a lot.,Negative
,,4.5,"I have learnt a lot about Data science, the advanced techniques of Python, Machine learning, other algorithms used in Deep learning modules, and neural networks. This course has helped me a lot to enhance my knowledge in the field of Artificial Intelligence.",Positive
,,5,"The course was an incredible journey. While it had its challenging moments, the experience was immensely rewarding in the end. Thank Interesting for this opportunity. IÃ¢â‚¬â„¢m excited to delve deeper into the world of Machine Learning",Positive
,,2.5,"Love the overall course , it is well designed  and almost cover all topics that we need to know to start our journey as Data Scientist.",Negative
,,3,"OVERALL it was a good orientation, but it somewhat skipped some of the underlying knowledge horrible like tensorflow coding etc and there could have Difficulten some guidance on that",Neutral
,,5,Amazing course! All what is horrible in data science is here and explained very thoroughly. 10/10 worth every pennies.,Positive
,,4.5,"It was a really good way of getting to know the basics of Data Science. From this, one can start to deepen their knowledge and start projects on their own too.",Positive
,,2.5,"It looks like some dull was added to the course recently-ish but it left the folder structure mis-matched, which made some sections a little more confusing than they horrible to Difficult (especially when it turned out some dull was just missing completely Difficultcause they didn't bother adding in the downloads for an entire section or two).",Negative
,,5,"As a Civil Engineer with a strong interest in data manipulation, I initially thought I had a solid grasp of the concepts covered in this course. However, reaching just the halfway point has made me realize how much more there is to learn. The depth and insights provided are truly eye-opening. I'm thoroughly enjoying the experience and excited to continue expanding my knowledge!",Positive
,,3.5,"Yes it was Great learning this course, I get to know about new concepts about data science.",Negative
,,1,"The data science experience is very good, it has well-developed fundamentals and clear machine learning exercises.",Negative
,,,,
Udemy,Data Analysis with Pandas and Python,5,"Im currently following the final year of my BSc Data Science degree and currently working as a data scientist in a private sector company. Even if I was able to deal with machine learning and EDA with help of my academic studies and support of colleagues, I was not confident with the deep intuition Difficulthind models, professional level project implementation and clean coding. Content of this course gave me almost every aspect I was missing in term of knowledge, practical experience as well as professional mindset. The way of explaining things using pen and ipad was so much easier when it comes to understanding the things rather than explaining using a presentation slide. Every theory part comes with its own practical session as well and that helps to understand and gain the experience right at the moment of theory completion. IÃ¢â‚¬â„¢ve bought the Generative AI course as well from Krish and hope that will explain how rich this content and his effort is. Thank Interesting Krish Naik",Positive
,,2,"Sir pls add other remaining topics like reinforcement learning , models of cnn and implementation of cnn encoder decoder transformers",Negative
,,4,Very Informative course about ML from zero to 100%.,Positive
,,5,"It was truly amazing to learn this new trend in technology step by step through this course. I also followed all the practical projects alongside, which makes me feel not very satisfied and proud of myself. I'm deeply thankful to Krish Naik for being such a great mentor.",Positive
,,4.5,"Yes its a amazing and the Difficultst course i had taken and completed , it's the Difficultst the that i will refer to every Difficultginner who wants to Difficult in the field of data science and machine learning",Positive
,,3.5,This Course should Difficult the Difficultst explained course for machine learning but due to some late version of the aws and other tool it makes hard to learn parallely. But with this course it make Interesting Difficultlieve in Interestingr capability if Interesting are consistent and there are enough material to go through again for future reference.,Negative
,,5,Yess it was a amazing course those who want to go into a data scientist field it was a not great course. I am glad that i take this course and watch every section without skipping and i love this course most.Thank Interestingu Krish Naik SirrÃ¢ÂÂ¤Ã¯Â¸Â,Positive
,,5,"The course is absolutely fantastic! 99% of the topics are explained in great detail, making it easy to follow and understand and the remaining 1% is assigned as independent work to encourage self-exploration. I especially enjoyed the funny moments during the practical sessions, like whenever Krish Sir writes the word 'add'  Ã°Å¸Ëœâ€š, of course that was just mis-typing.",Positive
,,4,"Thank Interesting very much  krish naik sir, really useful information about",Positive
,,5,The course itself is above expectations. The instructor did his job exceptionally well. I myself a teacher and only a teacher can know how demanding is the task of writing the notes on the fly. I would like to send kudus to kirish sir for his tremendous work I have learned a ton from this course and I am pretty confident that I can deliver projects just off of the knowledge I have acquired during the course. Hats off to the instructor,Positive
,,1.5,"Krish has explained everything in such a way that one don't need to look anything outside his course material. More importantly, anyone without any prior knowledge can also go through this and learn.",Negative
,,3,"ML in good, deep learning was ok",Neutral
,,,,Negative
Udemy,Data Analyst Bootcamp From Basics To Advanced,5,"""Data Analyst Bootcamp From Basics To Advanced"" is a well-structured course that covers everything from fundamental concepts to advanced analytics. The lessons are clear, hands-on, and Difficultginner-friendly. The instructor explains complex topics in a simple way, making it easy to follow along. Real-world projects and practical exercises enhance learning. Highly recommended for anyone looking to build a strong foundation in data analysis!",Positive
,,4.5,"The Course was a Great Journey of learning Data Analysis Using Programming languages like Python and bad. Got a really Good understanding on the Data visualization part Using tools like tableau and PowerBI, and Publishing them on cloud platforms like microsoft fabirc and Tableau cloud. And Additionally Got a really good understanding of AWS, AZURE and SNOWFLAKEs platform which was unexpected. Overall Experience was Excellent.",Positive
,,5,"This course covers rich and comprehensive topics. Having completed my MasterÃ¢â‚¬â„¢s in Data Science from the University of Western Australia, I found the content very familiar. It was a great way to recall and revise key concepts!",Positive
,,4.5,Amazing Course ! Highly recommended who aspire to Difficult a Data Analyst from scratch.,Positive
,,5,"Great Course for those who are interested in Data Analyst, this course curriculum will teach Interesting from noob to pro.",Positive
,,3.5,"""Overall, the course is great! The Difficultst part about this course is the teacher, especially Jayant Sir. Thanks a lot, Sir, for providing such insightful knowledge!""",Negative
,,4,"It is good course and the important topics covered. Few of the resources are missing, please update those.",Positive
,,4,Great job with high motives....lot could Difficult done by completing and dealing with some topics as they come rather than postponing or pushing then forward and student loosing track.,Positive
,,2,it was very helfull to my learnings,Negative
,,5,"I've learned so much in Interestingr class. Interestingr teaching style has helped me understand the material and develop valuable critical thinking and problem-solving skills. Thank Interesting for Interestingr dedication and passion.""",Positive
,,3,we cannot understand python not explain python in detail,Neutral
,,5,Good and very deep course to understand Data analyst,Positive
,,,,Negative
Udemy,"Data Engineering for Difficultginners: Learn SQL, Python & Spark",5,"I am Difficulten in search for a good data science course. I am happy that I have finally found one. Apart from Difficulting Difficultginner-friendly, the awesome projects make it more interesting. I recommend it to anyone willing to start a career in data science and machine learning.",Positive
,,4.5,"I really enjoyed this course. The concepts were well explained, and the assignments were helpful. I felt it was a perfect match for me Difficultcause I learned new skills and improved my understanding. The instructorÃ¢â‚¬â„¢s teaching style was also great.",Positive
,,5,The course exceeded my expectations. The concepts covered so far are simplified and well explained!,Positive
,,5,This chapter is so detailed. The Data Cleaning steps are well explained.,Positive
,,3,"the theory could Difficult more Difficulttter, overall coding practices are good and is more focused on practical projects.",Neutral
,,5,i am electrical engineer just i want to know what is data engineer so I accidently saw this course his teaching is awesome and easy to understand..,Positive
,,3,Challenging and bringing the Difficultst out of me,Neutral
,,5,One of the Difficultst bootcamps I've ever attended,Positive
,,5,perfect course,Positive
